company,ticker,market_cap_billions,ev_deliveries_2023,revenue_millions_2023,gross_margin_2023,rd_expense_millions,avg_rating,price_target,analyst_rating,competitive_advantages,key_weaknesses
Tesla,TSLA,810.2,1800000,100000,17.6,4600,4.2,280.50,"Strong Buy","Technology leadership,Brand recognition,Charging network","High valuation,Production constraints"
BYD,BYD,85.3,3000000,85000,18.2,2800,4.0,45.20,"Buy","Scale advantage,Vertical integration,Cost efficiency","Limited global presence,Brand recognition"
Volkswagen,VWAGY,65.8,800000,295000,15.8,18000,3.8,18.75,"Hold","Global scale,Dealer network,Multiple brands","Slow EV transition,Complex structure"
General Motors,GM,52.1,75000,171000,12.5,9200,3.6,42.30,"Hold","Dealer network,Financial services,Scale","EV transition challenges,Legacy costs"
Ford,F,48.9,72000,176000,11.8,7800,3.5,15.80,"Hold","Truck leadership,Dealer network,Financial services","EV transition,Operational efficiency"
Toyota,TM,245.6,95000,279000,18.5,11000,3.9,185.40,"Hold","Hybrid leadership,Global scale,Quality reputation","Slow EV adoption,Conservative approach"
BMW,BMWYY,68.2,450000,155000,16.2,6800,4.1,42.15,"Buy","Luxury positioning,Technology,Global presence","High costs,Complex lineup"
Mercedes-Benz,MBGYY,72.4,380000,148000,15.9,7200,4.0,38.90,"Buy","Luxury brand,Technology,Global network","High costs,EV transition"
NIO,NIO,12.8,160000,8500,8.5,1200,3.7,8.45,"Hold","Battery swapping,Technology,User experience","Limited scale,Financial challenges"
XPeng,XPEV,8.9,140000,3200,6.2,800,3.5,12.30,"Hold","Technology focus,User experience,Innovation","Limited scale,Financial challenges"
Rivian,RIVN,18.2,57000,4400,5.8,1800,3.8,25.60,"Hold","Truck focus,Technology,Amazon partnership","Production challenges,High costs"
Lucid,LCID,6.8,7200,595,8.9,750,3.6,6.80,"Hold","Technology,Performance,Luxury positioning","Limited scale,High costs"
Fisker,FSR,0.8,4200,272,3.2,350,2.8,2.10,"Sell","Design focus,Partnership model","Production issues,Financial challenges"
Canoo,GOEV,0.3,22,1,0.5,120,2.5,0.80,"Sell","Design innovation,Partnerships","Production delays,Financial issues"
Arrival,ARVL,0.1,0,0,0.0,180,2.2,0.50,"Sell","Microfactory concept,Commercial focus","Production delays,Financial challenges" 
